WORD;POST_PROB_5;NUM_1_REVIEWS;NUM_5_REVIEWS
aback;0.5;1;1
abandoned;0.75;1;3
abandonment;0;1;0
abdominal;0;1;0
abide;0;1;0
abilities;1;0;6
ability;0.909090909090909;3;30
abnormal;1;0;1
abnormalities;0;1;0
abode;1;0;1
abortive;1;0;1
abounds;1;0;2
abreast;1;0;1
abrupt;0;2;0
abruptly;0.5;1;1
abscess;1;0;1
absence;1;0;1
absent;1;0;2
absentee;1;0;1
absolute;0.791666666666667;20;76
absolutely;0.878296146044625;60;433
absorbed;1;0;1
absorbing;1;0;1
abundance;0.5;1;1
abundant;1;0;1
abundantly;1;0;1
abuse;0.571428571428571;3;4
abused;0;3;0
abusing;0;3;0
abusive;1;0;1
abut;1;0;1
ac;0.78125;14;50
academia;1;0;2
academic;0.9;1;9
academically;1;0;6
academics;1;0;6
academies;1;0;1
academy;0.962264150943396;6;153
accelerated;1;0;1
accent;1;0;3
accents;1;0;1
accentuate;0;1;0
accept;0.3125;22;10
acceptable;0.285714285714286;5;2
acceptance;1;0;2
accepted;0.6;8;12
accepting;0.75;3;9
accepts;0.5;1;1
access;0.872340425531915;6;41
accessed;0.5;1;1
accessibility;1;0;1
accessible;0.869565217391304;3;20
accessing;1;0;2
accessories;1;0;14
accident;0.906666666666667;7;68
accidental;0;1;0
accidentally;0.555555555555556;4;5
accidents;1;0;6
acclimate;1;0;1
accolades;1;0;3
accommodate;0.930232558139535;3;40
accommodated;1;0;13
accommodates;1;0;2
accommodating;0.974576271186441;3;115
accommodations;1;0;2
accompanied;0;1;0
accompany;1;0;1
accomplish;1;0;5
accomplished;0.777777777777778;2;7
accord;1;0;1
accordance;1;0;1
accords;1;0;1
account;0.375;55;33
accountability;0.727272727272727;3;8
accountable;0.75;2;6
accountant;0.8;1;4
accountants;1;0;2
accounted;0.5;1;1
accounting;0.5;3;3
accounts;0.571428571428571;3;4
accreditation;0.8;1;4
accredited;0.8;4;16
acct;0;5;0
accuracy;1;0;3
accurate;0.878787878787879;4;29
accurately;0.666666666666667;2;4
accusation;0;1;0
accusations;0.5;2;2
accuse;1;0;1
accused;0.8;1;4
accusing;0.5;1;1
accustomed;1;0;1
ace;1;0;6
aces;1;0;1
acetone;0;1;0
ache;0.8;1;4
ached;1;0;1
aches;1;0;7
achievable;1;0;1
achieve;0.952380952380952;1;20
achieved;1;0;3
achievement;1;0;1
achieves;1;0;1
achieving;1;0;2
aching;1;0;1
achy;1;0;1
acid;0.4;3;2
acknowledge;0.583333333333333;5;7
acknowledged;0.428571428571429;4;3
acknowledges;0;1;0
acknowledging;0;3;0
acknowledgment;0;1;0
acne;1;0;1
acquaintance;1;0;1
acquaintances;1;0;1
acquainted;0.666666666666667;1;2
acquire;1;0;2
acquired;0.8;1;4
acre;1;0;1
acres;1;0;6
acrylic;0.4;9;6
acrylics;0.75;1;3
act;0.3125;22;10
acted;0;14;0
acting;0.272727272727273;8;3
action;0.7;9;21
actionable;0;1;0
actions;0.363636363636364;7;4
activate;0.666666666666667;1;2
activates;1;0;1
activation;1;0;4
activator;1;0;1
active;0.708333333333333;7;17
actively;1;0;3
activities;0.979166666666667;1;47
activity;0.9375;1;15
actor;1;0;1
acts;0.636363636363636;4;7
actual;0.727272727272727;15;40
actuality;0;1;0
actuator;0;1;0
acumen;1;0;1
acupuncture;1;0;1
acupuncturist;1;0;1
acute;1;0;1
adapt;0.75;1;3
adaptable;1;0;1
adapted;1;0;3
adapters;0;1;0
adapts;1;0;1
add;0.6875;20;44
added;0.733333333333333;12;33
addict;0.666666666666667;1;2
addicted;1;0;4
addicting;1;0;2
addictive;1;0;2
